18985 | train: 99.027% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.630s
18986 | train: 99.028% | test : 98.930% | LR: 0.00005628 | Dropout: 0.596 | time: 0.632s
18987 | train: 98.913% | test : 98.960% | LR: 0.00005408 | Dropout: 0.596 | time: 0.633s
18988 | train: 98.917% | test : 98.970% | LR: 0.00005336 | Dropout: 0.592 | time: 0.630s
18989 | train: 99.087% | test : 98.970% | LR: 0.00005336 | Dropout: 0.592 | time: 0.631s
18990 | train: 99.005% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.630s
18991 | train: 98.978% | test : 98.910% | LR: 0.00005776 | Dropout: 0.593 | time: 0.631s
18992 | train: 98.940% | test : 98.960% | LR: 0.00005408 | Dropout: 0.591 | time: 0.630s
18993 | train: 99.017% | test : 98.940% | LR: 0.00005554 | Dropout: 0.591 | time: 0.631s
18994 | train: 99.098% | test : 98.960% | LR: 0.00005408 | Dropout: 0.598 | time: 0.631s
18995 | train: 98.925% | test : 98.930% | LR: 0.00005628 | Dropout: 0.598 | time: 0.629s
18996 | train: 98.935% | test : 98.940% | LR: 0.00005554 | Dropout: 0.594 | time: 0.631s
18997 | train: 99.048% | test : 98.930% | LR: 0.00005628 | Dropout: 0.594 | time: 0.630s
18998 | train: 99.010% | test : 98.940% | LR: 0.00005554 | Dropout: 0.595 | time: 0.629s
18999 | train: 98.957% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.629s
19000 | train: 98.983% | test : 98.940% | LR: 0.00005554 | Dropout: 0.595 | time: 0.630s
19001 | train: 98.947% | test : 98.980% | LR: 0.00005263 | Dropout: 0.595 | time: 0.632s
19002 | train: 99.017% | test : 98.960% | LR: 0.00005408 | Dropout: 0.596 | time: 0.632s
19003 | train: 98.937% | test : 98.910% | LR: 0.00005776 | Dropout: 0.596 | time: 0.631s
19004 | train: 98.968% | test : 98.930% | LR: 0.00005628 | Dropout: 0.594 | time: 0.630s
19005 | train: 98.953% | test : 98.950% | LR: 0.00005481 | Dropout: 0.594 | time: 0.630s
19006 | train: 99.012% | test : 98.950% | LR: 0.00005481 | Dropout: 0.596 | time: 0.630s
19007 | train: 98.998% | test : 98.900% | LR: 0.00005850 | Dropout: 0.596 | time: 0.630s
19008 | train: 98.992% | test : 98.940% | LR: 0.00005554 | Dropout: 0.595 | time: 0.631s
19009 | train: 98.972% | test : 98.920% | LR: 0.00005702 | Dropout: 0.595 | time: 0.632s
19010 | train: 99.038% | test : 98.910% | LR: 0.00005776 | Dropout: 0.598 | time: 0.632s
19011 | train: 98.913% | test : 98.970% | LR: 0.00005336 | Dropout: 0.598 | time: 0.629s
19012 | train: 98.945% | test : 98.880% | LR: 0.00005999 | Dropout: 0.594 | time: 0.631s
19013 | train: 99.000% | test : 98.940% | LR: 0.00005554 | Dropout: 0.594 | time: 0.630s
19014 | train: 98.975% | test : 98.950% | LR: 0.00005481 | Dropout: 0.594 | time: 0.630s
19015 | train: 98.987% | test : 98.910% | LR: 0.00005776 | Dropout: 0.594 | time: 0.632s
